Date,City,State,PM2.5,PM10,NO2,SO2,CO,O3,AQI
2022-01-01,Delhi,Delhi,87.84,175.68,47.86,24.81,1.25,33.02,175.68
2022-01-01,Mumbai,Maharashtra,66.6,115.77,34.15,16.97,0.92,46.25,115.77
2022-01-01,Kolkata,West Bengal,66.62,129.34,45.5,13.19,0.91,42.94,129.34
2022-01-01,Chennai,Tamil Nadu,72.63,125.18,19.96,10.6,0.64,37.62,125.18
2022-01-01,Bangalore,Karnataka,53.46,56.52,35.28,9.99,0.58,46.24,89.11
2022-01-01,Hyderabad,Telangana,54.75,119.47,32.51,21.6,0.62,48.33,119.47
2022-01-01,Ahmedabad,Gujarat,61.21,119.53,49.65,25.69,1.15,46.01,119.53
2022-01-01,Pune,Maharashtra,39.48,57.91,33.94,13.15,0.88,47.05,65.79
2022-01-01,Jaipur,Rajasthan,88.05,142.26,40.51,17.67,1.32,35.6,146.75
2022-01-01,Lucknow,Uttar Pradesh,84.66,205.53,53.72,19.08,1.33,60.91,205.53
2022-01-02,Delhi,Delhi,106.81,203.42,51.23,18.09,1.46,44.03,203.42
2022-01-02,Mumbai,Maharashtra,58.05,110.26,34.0,11.15,0.68,36.68,110.26
2022-01-02,Kolkata,West Bengal,30.76,150.57,45.95,16.91,0.86,39.75,150.57
2022-01-02,Chennai,Tamil Nadu,35.84,,39.47,20.65,0.34,42.18,59.73
2022-01-02,Bangalore,Karnataka,78.01,94.55,39.6,8.87,0.58,49.65,130.02
2022-01-02,Hyderabad,Telangana,48.67,109.48,35.62,9.3,0.91,48.65,109.48
2022-01-02,Ahmedabad,Gujarat,64.78,155.9,31.21,18.54,1.11,45.7,155.9
2022-01-02,Pune,Maharashtra,43.74,101.22,34.35,19.68,0.59,43.44,101.22
2022-01-02,Jaipur,Rajasthan,83.52,212.27,47.22,19.94,1.15,47.66,212.27
2022-01-02,Lucknow,Uttar Pradesh,71.46,161.33,50.67,14.54,1.24,42.78,161.33
2022-01-03,Delhi,Delhi,118.5,205.82,69.41,22.08,1.57,44.63,205.82
2022-01-03,Mumbai,Maharashtra,61.01,160.11,47.5,20.19,1.3,34.53,160.11
2022-01-03,Kolkata,West Bengal,117.58,177.91,73.59,17.46,1.39,36.57,195.97
2022-01-03,Chennai,Tamil Nadu,79.44,140.35,48.76,14.89,0.96,38.0,140.35
2022-01-03,Bangalore,Karnataka,36.27,103.73,42.24,16.94,1.07,45.88,103.73
2022-01-03,Hyderabad,Telangana,57.56,130.82,49.37,14.32,1.09,42.87,130.82
2022-01-03,Ahmedabad,Gujarat,99.88,210.94,63.34,18.33,1.19,35.84,210.94
2022-01-03,Pune,Maharashtra,78.12,130.9,43.28,13.31,0.72,50.9,130.9
2022-01-03,Jaipur,Rajasthan,121.18,224.71,87.37,21.12,1.64,40.38,224.71
2022-01-03,Lucknow,Uttar Pradesh,126.84,216.25,,28.1,1.54,32.11,216.25
2022-01-04,Delhi,Delhi,127.35,225.09,56.38,14.31,1.8,43.46,225.09
2022-01-04,Mumbai,Maharashtra,57.49,128.38,52.13,22.74,1.1,44.23,128.38
2022-01-04,Kolkata,West Bengal,78.88,188.47,69.73,19.5,1.22,35.73,188.47
2022-01-04,Chennai,Tamil Nadu,72.1,132.95,55.61,9.47,0.55,40.97,132.95
2022-01-04,Bangalore,Karnataka,47.55,168.08,43.23,6.64,0.93,44.69,168.08
2022-01-04,Hyderabad,Telangana,84.74,129.61,43.46,14.7,1.38,38.09,141.23
2022-01-04,Ahmedabad,Gujarat,123.97,205.87,49.92,28.4,1.55,28.91,206.62
2022-01-04,Pune,Maharashtra,92.9,170.31,48.37,14.09,1.06,39.08,170.31
2022-01-04,Jaipur,Rajasthan,116.62,216.22,53.53,28.43,1.69,37.29,216.22
2022-01-04,Lucknow,Uttar Pradesh,82.49,220.81,80.03,28.92,1.85,53.62,220.81
2022-01-05,Delhi,Delhi,121.14,224.28,,19.57,1.54,46.18,224.28
2022-01-05,Mumbai,Maharashtra,93.46,139.6,46.64,10.95,1.04,32.07,155.76
2022-01-05,Kolkata,West Bengal,78.74,224.91,55.05,16.14,1.26,44.76,224.91
2022-01-05,Chennai,Tamil Nadu,35.3,,35.39,7.61,0.8,40.55,58.84
2022-01-05,Bangalore,Karnataka,41.53,132.83,33.87,10.64,0.69,48.32,132.83
2022-01-05,Hyderabad,Telangana,76.79,156.68,35.83,15.84,0.84,52.47,156.68
2022-01-05,Ahmedabad,Gujarat,101.41,206.0,59.69,25.02,1.48,38.12,206.0
2022-01-05,Pune,Maharashtra,63.84,111.72,45.5,22.23,1.31,45.24,111.72
2022-01-05,Jaipur,Rajasthan,124.49,271.3,58.89,21.36,1.54,49.71,271.3
2022-01-05,Lucknow,Uttar Pradesh,137.89,232.98,80.55,19.41,1.4,33.31,232.98
2022-01-06,Delhi,Delhi,143.38,222.39,60.84,23.15,1.76,49.28,238.96
2022-01-06,Mumbai,Maharashtra,76.33,164.43,48.03,20.62,1.03,43.63,164.43
2022-01-06,Kolkata,West Bengal,89.17,172.53,48.29,22.32,1.22,40.86,172.53
2022-01-06,Chennai,Tamil Nadu,57.03,87.49,44.03,11.56,1.11,43.85,95.05
2022-01-06,Bangalore,Karnataka,38.01,,28.72,12.87,0.85,50.71,63.35
2022-01-06,Hyderabad,Telangana,,125.37,51.95,20.35,1.22,48.69,125.37
2022-01-06,Ahmedabad,Gujarat,122.16,207.98,65.6,23.95,1.63,41.59,207.98
2022-01-06,Pune,Maharashtra,51.88,168.84,48.33,13.83,1.01,45.2,168.84
2022-01-06,Jaipur,Rajasthan,,181.03,54.05,16.17,1.67,36.58,181.03
2022-01-06,Lucknow,Uttar Pradesh,109.09,208.75,67.38,28.22,1.66,35.67,208.75
2022-01-07,Delhi,Delhi,140.69,190.04,68.77,23.37,1.65,48.83,234.49
2022-01-07,Mumbai,Maharashtra,98.11,173.01,47.15,16.28,1.19,25.05,173.01
2022-01-07,Kolkata,West Bengal,94.0,159.75,50.05,21.36,1.16,38.35,159.75
2022-01-07,Chennai,Tamil Nadu,88.02,126.03,49.47,10.02,0.63,47.23,146.69
2022-01-07,Bangalore,Karnataka,43.34,113.36,27.45,17.06,0.78,57.91,113.36
2022-01-07,Hyderabad,Telangana,75.24,177.13,41.65,14.08,1.42,44.51,177.13
2022-01-07,Ahmedabad,Gujarat,84.92,246.51,58.15,17.66,1.94,40.45,246.51
2022-01-07,Pune,Maharashtra,71.63,102.66,39.93,12.89,1.01,41.78,119.39
2022-01-07,Jaipur,Rajasthan,93.99,203.7,53.9,20.94,1.55,32.22,203.7
2022-01-07,Lucknow,Uttar Pradesh,126.27,249.54,72.52,25.66,1.67,35.21,249.54
2022-01-08,Delhi,Delhi,111.88,,50.04,24.73,1.38,44.28,186.47
2022-01-08,Mumbai,Maharashtra,52.44,184.09,25.83,15.68,1.14,45.02,184.09
2022-01-08,Kolkata,West Bengal,52.91,142.7,44.03,20.99,1.23,35.84,142.7
2022-01-08,Chennai,Tamil Nadu,47.38,95.57,38.92,19.78,0.49,61.19,95.57
2022-01-08,Bangalore,Karnataka,48.05,73.36,21.03,13.97,0.25,50.17,80.08
2022-01-08,Hyderabad,Telangana,37.26,86.46,41.12,15.79,0.85,50.7,86.46
2022-01-08,Ahmedabad,Gujarat,93.0,153.64,39.81,19.0,1.13,48.61,155.01
2022-01-08,Pune,Maharashtra,76.6,86.04,26.07,12.51,0.93,41.51,127.66
2022-01-08,Jaipur,Rajasthan,84.74,155.6,50.35,24.85,1.17,29.57,155.6
2022-01-08,Lucknow,Uttar Pradesh,78.74,122.93,39.9,22.39,1.3,39.62,131.23
2022-01-09,Delhi,Delhi,126.53,223.34,56.48,18.57,2.09,32.79,223.34
2022-01-09,Mumbai,Maharashtra,59.62,89.74,27.4,10.56,0.98,43.41,99.36
2022-01-09,Kolkata,West Bengal,61.37,156.72,35.63,12.99,0.87,46.17,156.72
2022-01-09,Chennai,Tamil Nadu,35.38,93.66,30.23,18.97,0.91,41.7,93.66
2022-01-09,Bangalore,Karnataka,30.65,84.35,32.77,18.18,0.64,37.29,84.35
2022-01-09,Hyderabad,Telangana,71.07,101.41,34.86,14.84,1.06,40.51,118.44
2022-01-09,Ahmedabad,Gujarat,70.75,150.5,63.25,20.53,1.0,39.75,150.5
2022-01-09,Pune,Maharashtra,41.48,105.79,45.96,7.11,0.76,51.38,105.79
2022-01-09,Jaipur,Rajasthan,104.29,130.73,44.84,28.98,0.78,44.26,173.82
2022-01-09,Lucknow,Uttar Pradesh,84.4,212.5,58.8,22.5,1.41,44.55,212.5
2022-01-10,Delhi,Delhi,113.78,259.06,73.16,28.92,1.66,37.82,259.06
2022-01-10,Mumbai,Maharashtra,71.44,114.23,41.68,21.79,1.4,20.72,119.07
2022-01-10,Kolkata,West Bengal,67.2,158.41,64.03,16.96,1.15,36.76,158.41
2022-01-10,Chennai,Tamil Nadu,78.06,160.24,51.41,15.11,0.85,34.43,160.24
2022-01-10,Bangalore,Karnataka,51.59,137.2,37.42,8.13,0.88,44.24,137.2
2022-01-10,Hyderabad,Telangana,100.75,151.11,45.15,17.6,0.78,32.55,167.91
2022-01-10,Ahmedabad,Gujarat,128.94,219.29,59.05,24.81,1.63,44.64,219.29
2022-01-10,Pune,Maharashtra,98.36,167.42,42.04,14.84,1.1,41.78,167.42
2022-01-10,Jaipur,Rajasthan,137.73,224.01,73.03,18.63,1.7,42.32,229.55
2022-01-10,Lucknow,Uttar Pradesh,111.09,251.11,69.41,20.46,1.51,42.88,251.11
2022-01-11,Delhi,Delhi,139.73,253.43,80.51,22.51,1.76,47.14,253.43
2022-01-11,Mumbai,Maharashtra,65.7,140.83,56.29,16.16,1.25,27.9,140.83
2022-01-11,Kolkata,West Bengal,82.77,150.65,50.05,13.71,1.08,28.24,150.65
2022-01-11,Chennai,Tamil Nadu,47.52,118.33,50.16,17.69,0.95,38.57,118.33
2022-01-11,Bangalore,Karnataka,28.91,112.3,43.26,12.14,0.95,38.99,112.3
2022-01-11,Hyderabad,Telangana,105.17,195.12,61.97,25.02,1.26,33.95,195.12
2022-01-11,Ahmedabad,Gujarat,86.24,240.77,71.36,21.63,1.2,41.06,240.77
2022-01-11,Pune,Maharashtra,78.76,139.77,46.82,17.86,1.2,38.12,139.77
2022-01-11,Jaipur,Rajasthan,126.01,173.6,60.96,26.14,1.9,47.83,210.01
2022-01-11,Lucknow,Uttar Pradesh,128.05,235.01,55.36,24.5,1.68,23.59,235.01
2022-01-12,Delhi,Delhi,122.01,261.63,61.11,23.72,1.86,38.77,261.63
2022-01-12,Mumbai,Maharashtra,84.16,150.86,47.22,13.51,1.36,34.71,150.86
2022-01-12,Kolkata,West Bengal,103.34,165.12,52.65,15.36,1.35,36.65,172.24
2022-01-12,Chennai,Tamil Nadu,64.09,134.84,45.29,13.28,1.05,53.87,134.84
2022-01-12,Bangalore,Karnataka,91.48,,,16.59,0.85,48.55,152.46
2022-01-12,Hyderabad,Telangana,79.49,135.64,46.82,19.27,1.38,44.29,135.64
2022-01-12,Ahmedabad,Gujarat,107.61,179.38,69.15,24.31,1.55,37.7,179.38
2022-01-12,Pune,Maharashtra,35.13,161.76,55.37,18.76,0.76,48.26,161.76
2022-01-12,Jaipur,Rajasthan,129.86,240.47,69.83,23.67,1.43,30.82,240.47
2022-01-12,Lucknow,Uttar Pradesh,102.98,254.93,77.26,26.55,1.88,30.88,254.93
2022-01-13,Delhi,Delhi,118.31,262.63,65.0,27.31,1.74,40.34,262.63
2022-01-13,Mumbai,Maharashtra,99.89,207.11,65.23,21.31,1.25,36.77,207.11
2022-01-13,Kolkata,West Bengal,77.83,172.04,56.99,22.16,1.21,44.19,172.04
2022-01-13,Chennai,Tamil Nadu,89.58,132.65,38.75,20.29,1.03,50.3,149.31
2022-01-13,Bangalore,Karnataka,45.04,155.67,27.76,11.75,1.16,31.12,155.67
2022-01-13,Hyderabad,Telangana,111.21,163.78,,14.38,1.2,49.31,185.35
2022-01-13,Ahmedabad,Gujarat,118.3,186.49,58.57,22.73,1.47,36.95,197.16
2022-01-13,Pune,Maharashtra,65.09,165.98,44.7,10.33,0.94,41.66,165.98
2022-01-13,Jaipur,Rajasthan,107.04,207.38,59.46,18.58,1.46,37.91,207.38
2022-01-13,Lucknow,Uttar Pradesh,118.57,,55.7,23.54,1.91,39.29,197.62
2022-01-14,Delhi,Delhi,131.29,271.82,69.8,27.27,2.16,39.22,271.82
2022-01-14,Mumbai,Maharashtra,,161.57,52.8,16.87,1.22,33.7,161.57
2022-01-14,Kolkata,West Bengal,77.43,174.72,57.18,16.45,1.43,37.71,174.72
2022-01-14,Chennai,Tamil Nadu,86.66,91.24,58.39,20.22,0.98,49.5,144.43
2022-01-14,Bangalore,Karnataka,55.31,144.05,45.66,19.25,1.04,48.98,144.05
2022-01-14,Hyderabad,Telangana,89.16,113.5,49.96,19.49,1.17,48.29,148.6
2022-01-14,Ahmedabad,Gujarat,108.12,182.34,62.88,14.8,1.08,42.12,182.34
2022-01-14,Pune,Maharashtra,87.14,120.11,49.17,18.47,0.86,44.24,145.24
2022-01-14,Jaipur,Rajasthan,107.06,251.78,78.81,25.27,1.97,41.53,251.78
2022-01-14,Lucknow,Uttar Pradesh,105.38,255.24,72.31,14.95,1.38,40.75,255.24
2022-01-15,Delhi,Delhi,100.65,202.29,66.46,29.02,1.21,46.4,202.29
2022-01-15,Mumbai,Maharashtra,46.03,132.15,34.35,18.09,0.78,38.33,132.15
2022-01-15,Kolkata,West Bengal,76.8,108.02,47.96,21.3,0.99,32.24,127.99
2022-01-15,Chennai,Tamil Nadu,62.27,89.55,30.3,15.16,0.42,53.97,103.78
2022-01-15,Bangalore,Karnataka,59.08,86.1,20.76,20.13,0.77,35.75,98.46
2022-01-15,Hyderabad,Telangana,37.19,111.07,30.66,19.09,0.73,43.2,111.07
2022-01-15,Ahmedabad,Gujarat,80.84,172.73,60.79,25.27,1.41,43.69,172.73
2022-01-15,Pune,Maharashtra,42.0,146.97,41.04,20.19,0.97,51.8,146.97
2022-01-15,Jaipur,Rajasthan,71.07,180.47,46.13,20.12,1.07,37.43,180.47
2022-01-15,Lucknow,Uttar Pradesh,83.5,229.24,36.29,24.77,0.97,47.86,229.24
2022-01-16,Delhi,Delhi,84.51,216.78,67.52,22.42,1.42,35.14,216.78
2022-01-16,Mumbai,Maharashtra,54.7,118.65,48.07,12.09,0.82,44.54,118.65
2022-01-16,Kolkata,West Bengal,38.37,166.95,46.47,25.01,1.03,37.56,166.95
2022-01-16,Chennai,Tamil Nadu,67.64,105.38,52.52,17.97,0.89,33.61,112.73
2022-01-16,Bangalore,Karnataka,58.51,60.94,39.09,20.04,0.63,43.91,97.52
2022-01-16,Hyderabad,Telangana,35.78,105.49,33.76,17.09,0.78,45.0,105.49
2022-01-16,Ahmedabad,Gujarat,73.06,163.36,56.31,18.76,1.38,38.08,163.36
2022-01-16,Pune,Maharashtra,47.2,98.87,25.72,20.39,1.24,50.22,98.87
2022-01-16,Jaipur,Rajasthan,104.8,,42.06,25.74,0.85,22.79,174.67
